Date Notice Posted,Company,Closure Type,City,County,Number Affected
30 April 2020,Busche Performance,Layoff,Fruitport and Southfield,Muskegon and Oakland,451
30 April 2020,Aludyne,Layoff,"Benton Harbor, Stevensville",Berrien,44
30 April 2020,Hertz,Layoff,Detroit,Wayne,103
30 April 2020,Flint Group Packaging Inks,Closure,Three Rivers,St. Joseph,58
29 April 2020,Country Fresh,Layoff,Livonia,Wayne,44
28 April 2020,Arcelor Mittal,Layoff,Southfield,Oakland,6
28 April 2020,City of Grand Haven,Layoff,Grand Haven,Ottawa,74
27 April 2020,Michigan Maple Block Company,Closure,Petoskey,Emmett,56
27 April 2020,Bloomin Brands,Layoff,"Ann Arbor, Birmingham, Canton, Clarkston, Flint, Grand Rapids, Grandville, Jackson, Kalamazoo, Kentwood, Lansing, Livonia, Madison Heights, Novi, Okemos, Portage, Roseville, Saginaw, Shelby Township, Southfield, Southgate, Sterling Heights, Traverse City, and Troy","Eaton, Genesee, Grand Traverse, Ingham, Jackson, Kalamazoo, Kent, Livingston, Macomb, Oakland, Saginaw, Washtenaw, and Wayne","2,289"
24 April 2020,"Schafer Woodworks, Inc.",Layoff,Tecumseh,Lenawee,25
24 April 2020,Punch Bowl Social,Layoff,Detroit,Wayne,97
23 April 2020,Beaumont Health,Layoff,"Dearborn, Farmington Hills, Grosse Pointe, Royal Oak, Southfield, Taylor, Trenton, Troy, and Wayne",Oakland and Wayne,"2,900"
23 April 2020,"Visionworks, Inc.",Layoff,"Allen Park, Ann Arbor, Canton, Lake Orion, Novi, Rochester Hills, Roseville, Southfield, Sterling Heights and Taylor","Macomb, Oakland,  Washtenaw and Wayne",39
22 April 2020,Enterprise Holdings,Layoff,Romulus,Wayne,114
21 April 2020,Founders Brewing,Layoff,Grand Rapids and Detroit,Kent and Wayne,163
20 April 2020,Williams International,Layoff,Pontiac and Commerce Township,Oakland,248
20 April 2020,Tilden Mining,Layoff,Ishpeming,Marquette,687
20 April 2020,Marsh Plating Corp.,Layoff,Ypsilanti,Washtenaw,97
20 April 2020,Avis Budget Car Rental - Grand Rapids,Layoff,Grand Rapids,Kent,28
17 April 2020,Avis Budget Rental Car,Layoff,Detroit,Wayne,159
16 April 2020,The Tile Company,Layoff (permanent),Ottawa Lake,Monroe,20
16 April 2020,The Tile Company,Layoff (temporary),Ottawa Lake,Monroe,35
15 April 2020,Wolverine Corporation,Layoff,"St. Joseph, Stevensville","St. Joseph, Berrien",70
13 April 2020,Ameriwood Industries,Layoff,Dowagiac,Cass,79
13 April 2020,"Pokagon Gaming Authority, dba Four Winds Casinos",Layoff,New Buffalo,Berrien,"1,489"
13 April 2020,"Samsung SDI America, Inc.",Layoff,Auburn Hills,Oakland,38
13 April 2020,"Gill Industries, Inc.",Closure,Walker,Kent,64
13 April 2020,"G2 Secure Staff, LLC",Layoff,Detroit,Wayne,68
13 April 2020,"Yazaki North America, Inc.",Layoff,Canton (3 separate locations all located in Canton),Wayne,723
10 April 2020,"ASC, Industries",Layoff,Rochester Hills,Oakland,5
10 April 2020,Circuit Controls Corporation,Layoff,Petoskey,Emmet,126
10 April 2020,"Agrati, Inc.",Layoff,Southfield,Oakland,15
09 April 2020,Prospect Airport,Layoff,Romulus,Wayne,132
09 April 2020,Beasley Media Group LLC,Layoff,Ferndale,Oakland,26
09 April 2020,Hooters,Layoff,"Flint, Roseville, Saginaw, Taylor","Genesee, Macomb, Saginaw, Wayne",87
09 April 2020,Morbark,Layoff,Winn,Isabella,182
09 April 2020,Precision Vehicle Solutions,Layoff,Flint,Genesee,180
08 April 2020,Vitro Automotive,Closure,Evart,Osceola,125
08 April 2020,Pace Industries,Layoff,Muskegon,Muskegon,456
07 April 2020,Bear Down Logistics,Closure,Walker,Kent,24
07 April 2020,"Lansing Ophthalmology, P.C. dba L.O. Eye Care",Layoff,East Lansing,Ingham,73
07 April 2020,"Eagle Industries, Inc.",Layoff,Wixom,Oakland,225
06 April 2020,Spire Hospitality Grand Rapids,Layoff,Grand Rapids,Kent,95
06 April 2020,Spire Hospitality,Layoff,Livonia,Wayne,65
06 April 2020,Quality Air,Layoff,Grand Rapids,Kent,212
06 April 2020,Fluid Routing Solutions,Layoff,Big Rapids,Mecosta,150
06 April 2020,Americhem,Layoff,Grand Rapids,Kent,17
03 April 2020,Barber Packaging Company,Layoff,Bangor,Van Buren,12
03 April 2020,"H & R Wood Specialties, Inc.",Layoff,Gobles,Van Buren,8
03 April 2020,"TriStar Molding, Inc.",Layoff,Marcellus,Cass,74
03 April 2020,Cinemark,Closure,"Flint, Ypsilanti, and Taylor","Genesee, Washtenaw and Wayne",162
03 April 2020,Maxwell's International,Closure,"Dearborn, Northville, Troy","Oakland, Wayne",189
02 April 2020,Fram Group Operations,Layoff,Rochester Hills,Oakland,35
01 April 2020,Great Wolf Lodge,Layoff,Traverse City,Grand Traverse,317
01 April 2020,Aludyne,Layoff,Warren,Wayne,115
01 April 2020,Trico Products,Layoff,Rochester Hills,Oakland,108
01 April 2020,Martin Brower,Layoff,St. Johns,Clinton,109
31 March 2020,On-Board Companies,Layoff,Mt. Clemens,Macomb,56
31 March 2020,Schulte Companies,Layoff,"Holland, Auburn Hills, Muskegon, Ann Arbor, Grand Rapids, Grandville, Stevensville","Ottawa, Oakland, Muskegon, Washtenaw, Kent, Berrien",213
31 March 2020,"Ken Garff Automotive, LLC",Layoff,"Novi, Southfield, Taylor","Oakland, Wayne",360
30 March 2020,YMCA of Greater Grand Rapids,Layoff,"Grand Rapids, Lowell, Wyoming, Grandville, Belmont, and Middleville","Kent, Barry","1,295"
30 March 2020,"LaGrasso Bros. Produce, Inc.",Layoff,Detroit,Wayne,77
30 March 2020,Benteler - Galesburg,Layoff,Galesburg,Kalamazoo,185
30 March 2020,Paper Source - Birmingham,Layoff,Birmingham,Oakland,8
30 March 2020,Paper Source - Ann Arbor,Layoff,Ann Arbor,Washtenaw,8
30 March 2020,Paper Source - Rochester Hills,Layoff,Rochester Hills,Oakland,10
30 March 2020,Art & Jakes Sports Bar Grill,Layoff,"Shelby Township, Sterling Heights, Washington Township",Macomb,300
30 March 2020,Benteler - Holland,Layoff,Holland,Ottawa,160
30 March 2020,"Trott Law, P.C.",Layoff,Farmington Hills,Oakland,39
30 March 2020,"ZF Axle Drives Marysville, LLC",Layoff,Marysville,St. Clair,800
30 March 2020,Benteler - Grand Rapids,Layoff,Grand Rapids,Kent,673
27 March 2020,Fly-Away Valet,Layoff,Romulus,Wayne,27
27 March 2020,Jacobsen/Daniels,Layoff,Ypsilanti,Washtenaw,5
26 March 2020,Convivial Brands,Layoff,"Grand Rapids, Wyoming",Kent,48
26 March 2020,Detroit Foundation Hotel,Layoff,Detroit,Wayne,164
26 March 2020,"Blue Bell Mattress Co., LLC",Closure,Roseville,Macomb,80
26 March 2020,Gazelle Sports,Layoff,"Kalamazoo, Grand Rapids, East Grand Rapids, Holland, Northville, and Birmingham, Counties: Kalamazoo, Kent, Ottawa","Kalamazoo, Kent, Ottawa County and Oakland",164
26 March 2020,YMCA of Metropolitan Detroit,Layoff,"Birmingham, Detroit, Milford, Southgate, Farmington Hills, St. Clair Shores, Livonia, Mt. Clemens, Auburn Hills, Royal Oak, Plymouth, Oscoda, Holly","Oakland, Wayne, Macomb, Iosco","1,318"
26 March 2020,"ZF North America, Inc.",Layoff,Northville,Oakland,60
26 March 2020,HMS Host,Layoff,Detroit,Wayne,202
24 March 2020,"IAC Mendon, LLC",Layoff,Mendon,St. Joseph,311
24 March 2020,ZF Chassis Components,Layoff,Lapeer,Lapeer,240
24 March 2020,"IAC Alma, LLC",Layoff,Alma,Gratiot,77
24 March 2020,"Mann + Hummel USA, Inc.",Layoff,Portage,Kalamazoo,377
23 March 2020,Art Van Furniture,Closure,"Warren, Novi, Grand Rapids, Burton, Shelby Township, Lansing, Alpine","Macomb, Oakland, Kent, Genesee, Macomb, Eaton, Kent",979
23 March 2020,The Rapid,Layoff,Grand Rapids,Kent,270
23 March 2020,Marriott - Auburn Hills,Layoff,Pontiac,Oakland,134
23 March 2020,Rusty Bucket Restaurant & Tavern,Layoff,"Bingham Farms, Northville and Bloomfield Hills",Oakland,260
23 March 2020,Thetford Corporation,Layoff,Ann Arbor and Dexter,Washtenaw,60
20 March 2020,Kirchhoff Automotive,Layoff,Tecumseh,Lenawee,338
19 March 2020,Worthington - Canton,Closure,Canton,Wayne,66
06 March 2020,Art Van,Closure,"Warren, Novi, Grand Rapids, Burton, Shelby Township, Lansing and Alpine","Macomb, Oakland, Kent, Genesee, Macomb, Eaton and Kent",721
05 March 2020,Walmart #1824,Closure,Ypsilanti,Washtenaw,226
28 February 2020,Peterson Spring,Closure,Madison Heights,Oakland,60
25 February 2020,Penske Logistics,Closure,Coldwater,Branch,121
21 February 2020,Muskegon Family Care,Closure,Muskegon,Muskegon,200
19 February 2020,"Alticor, Inc.",Layoff,Ada,Kent,209
18 February 2020,"Knoll, Inc.",Closure,Grand Rapids,Kent,210
18 February 2020,Bear Down Logistics,Closure,Walker,Kent,110
10 February 2020,"EXEL, INC. d/b/a/DHL Supply Chain (USA)",Layoff,Detroit,Wayne,144
10 February 2020,Gerdau-Jackson,Layoff,Jackson,Jackson,140
30 January  2020,UAW-GM Center for Human Resources,Layoff,Detroit,Wayne,71
29 January  2020,"Gill Industries, Inc.",Closure,Grand Rapids,Kent,59
29 January  2020,Oakwood Worldwide (US) LP,Layoff,Novi,Oakland,2
27 January  2020,"Latcha and Associates, L.L.C.",Layoff,Farmington Hills,Oakland,66
27 January  2020,Hemisphere Design Works,Closure,Muskegon,Muskegon,42
24 January  2020,Syncreon America Inc.,Closure,Warren,Wayne,84
21 January  2020,Cameron International Corp.,Closure,Muskegon,Muskegon,64
13 January  2020,"DST Industries, Inc.",Closure,Romulus,Wayne,122
30 September 2014,Detroit Medical Center (DMC),Closure,Madison Heights,Oakland,127
23 October 2015,FTE Automotive,Closure,Auburn Hills,Oakland,85
30 September 2016,Kmart - Sault Saint Marie,Closure,Sault Saint Marie,Chippewa,47
14 August 2017,Great Lakes Wine & Spirits,"Closure, Layoff, Layoff","Petoskey, Traverse City, Gaylord","Emmet, Grand Traverse, Otsego",101
20 July 2017,Kindred Hospital - Detroit,Closure,Detroit,Wayne,145
06 March 2017,Yanfeng,Layoff,Lansing,Ingham,27
